id,cut,color,clarity,x,y,z,price
23248,Premium,G,VS1,7.47,7.52,4.51,9.479
23249,Premium,H,VS1,7.39,7.44,4.44,9.314
23250,Very Good,E,VS2,5.74,5.71,3.51,7.983
23251,Premium,F,VS2,4.35,4.37,2.67,6.438
23252,Ideal,F,VS2,7.09,7.05,4.42,8.923
23253,Ideal,H,SI1,6.63,6.61,4.08,8.571
23254,Very Good,H,SI1,6.83,6.79,4.25,8.67
23255,Premium,D,SI1,5.19,5.13,3.14,7.431
23256,Ideal,H,VVS1,4.47,4.51,2.79,6.593
23257,Ideal,G,VS1,4.43,4.45,2.72,6.312
23258,Ideal,E,SI1,4.5,4.47,2.79,6.571
23259,Ideal,H,VS1,4.96,5.04,3.06,7.245
23260,Premium,D,SI2,5.69,5.64,3.45,7.594
23261,Good,F,IF,4.22,4.27,2.73,6.659
23262,Premium,G,SI1,5.7,5.74,3.5,7.622
23263,Ideal,E,SI2,6.28,6.33,3.93,8.313
23264,Good,F,SI2,6.07,6.12,3.77,8.092
23265,Ideal,D,VS2,4.33,4.36,2.68,6.565
23266,Ideal,D,SI1,4.47,4.37,2.74,6.628
23267,Ideal,E,VVS1,6.45,6.39,3.98,9.32
23268,Fair,G,VS1,6.26,6.19,3.59,8.006
23269,Ideal,G,IF,4.8,4.82,2.98,7.132
23270,Ideal,D,SI1,4.31,4.35,2.69,6.314
23271,Premium,H,SI1,6.93,6.87,4.28,8.794
23272,Fair,E,SI1,6.17,6.22,3.67,8.348
23273,Ideal,F,VS2,4.33,4.27,2.7,6.654
23274,Very Good,F,VVS1,6.37,6.41,3.97,9.201
23275,Ideal,F,SI1,5.76,5.69,3.52,7.876
23276,Ideal,G,VS2,5.08,5.11,3.16,7.279
23277,Premium,F,SI1,5.31,5.24,3.14,7.199
23278,Premium,E,VS2,4.95,4.91,3.03,7.067
23279,Ideal,F,SI2,4.77,4.81,2.97,6.417
23280,Premium,E,VS2,5.98,6.04,3.75,8.186
23281,Premium,E,VS2,5.07,5.09,3.14,7.393
23282,Ideal,G,VVS2,5.36,5.38,3.25,7.589
23283,Ideal,D,VVS1,4.82,4.79,2.96,7.391
23284,Ideal,D,VS1,5.73,5.8,3.55,8.167
23285,Premium,H,SI2,6.84,6.77,4.21,8.374
23286,Ideal,H,VS1,4.17,4.21,2.6,6.165
23287,Ideal,E,VS2,4.54,4.49,2.78,6.892
23288,Very Good,D,SI1,6.46,6.51,3.96,8.634
23289,Ideal,I,SI2,8.49,8.45,5.25,9.78
23290,Very Good,G,SI1,6.41,6.38,3.92,8.36
23291,Premium,I,SI2,6.84,6.79,4.27,8.553
23292,Ideal,I,SI1,4.6,4.64,2.83,6.225
23293,Very Good,D,VS2,4.68,4.72,2.95,6.89
23294,Ideal,E,VVS2,5.4,5.33,3.27,7.9
23295,Good,E,SI1,6.48,6.52,3.77,8.591
23296,Good,D,SI2,6.35,6.39,4.05,8.459
23297,Good,I,SI1,6.06,6.13,3.89,7.946
23298,Very Good,G,VVS1,4.35,4.37,2.61,6.704
23299,Premium,H,VS2,6.77,6.69,4.1,8.593
23300,Ideal,I,SI1,4.28,4.31,2.63,6.045
23301,Ideal,I,VS2,6.57,6.6,4.07,8.586
23302,Very Good,G,VS2,6.32,6.38,3.98,8.734
23303,Premium,H,SI2,5.76,5.72,3.54,7.357
23304,Ideal,F,SI1,6.19,6.21,3.83,8.281
23305,Ideal,F,SI1,5.63,5.68,3.55,7.835
23306,Very Good,F,SI1,6.13,6.16,3.83,8.541
23307,Premium,E,VS2,4.73,4.68,2.89,6.858
23308,Ideal,F,VS1,5.77,5.73,3.51,7.963
23309,Good,E,SI1,4.69,4.66,3.0,6.782
23310,Premium,F,SI1,5.81,5.77,3.51,7.692
23311,Ideal,G,VVS2,5.27,5.26,3.19,7.645
23312,Fair,E,SI1,5.61,5.58,3.62,7.763
23313,Very Good,E,VS1,6.43,6.55,3.99,8.92
23314,Ideal,H,SI2,5.79,5.83,3.53,7.72
23315,Very Good,E,SI1,6.0,5.95,3.79,7.942
23316,Ideal,D,VS2,4.54,4.51,2.82,6.851
23317,Premium,I,VS2,6.96,7.01,4.14,8.707
23318,Ideal,G,VS1,3.99,4.04,2.48,6.091
23319,Very Good,H,VS1,6.97,7.05,4.34,8.955
23320,Good,I,SI1,6.29,6.25,4.03,8.12
23321,Very Good,D,SI1,6.34,6.3,3.99,8.639
23322,Premium,D,SI1,4.71,4.75,2.9,6.649
23323,Premium,E,SI1,4.74,4.71,2.94,6.851
23324,Premium,H,VVS2,6.25,6.16,3.88,8.442
23325,Premium,G,SI2,6.55,6.51,3.86,8.353
23326,Good,G,SI2,6.38,6.31,4.04,8.327
23327,Premium,H,SI2,6.43,6.38,4.02,8.229
23328,Ideal,D,VS2,4.39,4.41,2.74,6.631
23329,Premium,E,SI1,5.3,5.25,3.22,7.419
23330,Ideal,E,VS2,5.76,5.79,3.54,8.176
23331,Very Good,D,SI2,6.12,6.15,3.89,8.272
23332,Ideal,D,VS2,5.29,5.23,3.22,7.57
23333,Premium,F,VS2,5.24,5.22,3.14,7.409
23334,Ideal,E,SI1,5.49,5.44,3.35,7.544
23335,Very Good,G,SI2,6.7,6.77,4.23,8.623
23336,Good,E,SI2,6.65,6.59,4.24,8.663
23337,Good,H,SI2,7.18,7.14,4.58,8.558
23338,Ideal,F,SI1,7.43,7.38,4.59,9.326
23339,Premium,E,VS2,5.7,5.59,3.5,7.885
23340,Premium,G,SI1,5.4,5.35,3.17,7.236
23341,Good,J,SI1,8.05,7.95,5.14,9.0
23342,Ideal,F,VS2,5.74,5.77,3.54,8.165
23343,Good,H,SI1,5.1,5.07,3.24,7.112
23344,Premium,E,VS2,5.75,5.8,3.53,7.991
23345,Ideal,D,SI2,7.9,7.84,4.7,9.198
23346,Ideal,E,VS2,4.41,4.37,2.68,6.771
23347,Very Good,E,VVS2,6.4,6.46,3.96,9.036
23348,Premium,F,SI2,8.15,8.11,5.02,9.825
23349,Ideal,H,SI2,6.68,6.63,4.02,8.42
23350,Ideal,H,VVS2,4.79,4.82,2.98,6.713
23351,Good,J,SI1,5.78,5.74,3.67,7.501
23352,Premium,G,VS2,6.85,6.81,4.25,8.987
23353,Very Good,I,VVS1,4.91,4.95,3.1,7.059
23354,Ideal,G,VVS1,6.94,6.9,4.23,9.322
23355,Good,J,SI1,5.83,5.75,3.48,7.416
23356,Premium,E,SI1,5.93,5.97,3.66,8.119
23357,Ideal,G,VS2,6.71,6.74,4.17,8.911
23358,Good,I,SI2,5.08,5.11,3.24,6.848
23359,Good,H,SI2,7.99,8.09,5.07,9.536
23360,Ideal,D,SI1,4.4,4.45,2.75,6.572
23361,Premium,I,SI2,6.7,6.65,3.9,8.183
23362,Premium,E,SI1,6.16,6.11,3.86,8.333
23363,Ideal,D,SI1,5.31,5.36,3.23,7.452
23364,Ideal,E,SI1,5.97,6.01,3.7,8.185
23365,Ideal,H,VS1,4.07,4.1,2.53,6.054
23366,Very Good,J,VS2,6.13,6.1,3.87,7.896
23367,Ideal,E,VS2,5.32,5.35,3.25,7.506
23368,Ideal,F,VVS1,5.18,5.24,3.21,7.971
23369,Premium,D,SI1,5.25,5.22,3.28,7.437
23370,Very Good,D,VS2,6.37,6.42,4.02,8.89
23371,Good,H,SI1,6.39,6.41,4.05,8.485
23372,Ideal,G,SI1,4.76,4.81,2.92,6.751
23373,Very Good,D,SI2,6.14,6.18,3.76,8.244
23374,Premium,J,VS1,7.38,7.32,4.57,9.057
23375,Premium,F,SI1,5.36,5.33,3.26,7.406
23376,Ideal,H,SI1,6.17,6.21,3.83,8.386
23377,Good,E,VS1,5.77,5.8,3.52,8.152
23378,Very Good,G,SI1,5.2,5.22,3.2,7.12
23379,Ideal,F,VS2,5.92,5.89,3.6,8.071
23380,Premium,E,VS2,5.41,5.38,3.32,7.838
23381,Premium,E,I1,6.32,6.29,3.76,7.818
23382,Good,G,VS1,4.95,5.0,2.96,7.072
23383,Very Good,G,VS1,5.8,5.83,3.52,7.979
23384,Ideal,H,VVS2,4.62,4.64,2.84,6.558
23385,Ideal,I,SI1,6.23,6.21,3.85,8.119
23386,Premium,D,SI1,4.93,4.89,2.95,6.97
23387,Ideal,F,SI1,4.82,4.85,2.89,6.82
23388,Very Good,F,VVS1,6.82,6.86,4.13,9.407
23389,Ideal,G,VS2,4.59,4.64,2.84,6.475
23390,Premium,H,SI1,8.15,8.04,4.93,9.725
23391,Premium,G,VS2,5.31,5.26,3.31,7.455
23392,Fair,I,VS2,6.13,6.1,3.94,8.017
23393,Premium,F,VVS2,4.85,4.78,2.86,6.916
23394,Ideal,E,VS2,5.7,5.75,3.52,7.95
23395,Premium,H,VS2,7.1,7.06,4.32,9.0
23396,Good,F,IF,4.3,4.36,2.6,6.609
23397,Very Good,F,VS2,6.19,6.08,3.89,8.442
23398,Ideal,D,VS1,5.86,5.9,3.66,8.378
23399,Ideal,G,VS2,4.35,4.31,2.67,6.515
23400,Premium,H,I1,8.75,8.67,5.22,9.044
23401,Premium,J,SI1,7.36,7.32,4.53,8.89
23402,Premium,I,VS2,4.38,4.36,2.67,6.324
23403,Good,D,VS1,6.62,6.56,3.81,8.923
23404,Very Good,G,VVS1,4.74,4.78,2.87,6.772
23405,Premium,J,SI1,4.59,4.52,2.79,6.293
23406,Fair,F,SI1,7.18,7.1,4.61,9.32
23407,Ideal,G,VVS2,4.34,4.31,2.71,6.81
23408,Ideal,G,IF,4.93,4.96,3.05,7.345
23409,Very Good,I,VS2,4.34,4.39,2.75,6.107
23410,Premium,H,VS1,4.5,4.45,2.8,6.669
23411,Good,H,VS2,5.87,5.92,3.34,7.69
23412,Ideal,F,VVS2,4.56,4.58,2.8,6.771
23413,Premium,I,VS1,7.03,6.98,4.28,8.642
23414,Ideal,J,VS1,6.99,7.03,4.38,8.772
23415,Ideal,I,VVS1,4.46,4.49,2.78,6.384
23416,Ideal,H,IF,4.31,4.33,2.7,6.639
23417,Premium,F,VS1,5.21,5.19,3.12,7.467
23418,Ideal,E,SI2,4.55,4.51,2.78,6.446
23419,Premium,H,VVS2,4.63,4.6,2.83,6.864
23420,Ideal,F,VVS1,4.85,4.88,3.03,7.214
23421,Ideal,H,VS2,6.84,6.79,4.24,8.68
23422,Ideal,H,SI2,6.39,6.36,3.93,8.243
23423,Ideal,E,SI1,8.17,8.09,5.08,9.809
23424,Ideal,G,VS1,6.5,6.54,4.01,8.917
23425,Ideal,E,VS2,4.5,4.52,2.8,6.613
23426,Ideal,G,VS2,4.45,4.48,2.64,6.299
23427,Ideal,G,IF,4.76,4.79,2.95,7.114
23428,Very Good,F,SI1,5.96,6.0,3.68,8.092
23429,Ideal,F,VVS2,4.84,4.82,2.99,7.131
23430,Good,H,VS2,7.25,7.19,4.62,9.21
23432,Very Good,E,VVS2,4.89,4.92,2.98,7.127
23433,Premium,I,VS1,4.59,4.55,2.72,6.535
23434,Very Good,G,VS2,6.82,6.8,4.3,8.848
23435,Ideal,E,VVS2,4.3,4.33,2.67,6.641
23436,Very Good,E,VS1,6.9,6.96,4.3,9.229
23437,Ideal,G,VVS2,4.48,4.44,2.76,6.903
23438,Ideal,E,VS1,6.84,6.88,4.24,9.289
23439,Ideal,H,VVS2,4.34,4.3,2.66,6.654
23440,Premium,J,SI2,6.85,6.79,4.21,8.238
23441,Ideal,H,SI1,4.66,4.72,2.91,6.509
23442,Ideal,F,IF,4.49,4.51,2.78,6.907
23443,Ideal,D,VS1,4.32,4.35,2.69,6.526
23444,Ideal,J,VS2,7.16,7.21,4.45,8.92
23445,Very Good,J,SI2,7.96,7.85,4.91,9.09
23446,Good,H,SI2,7.39,7.49,4.45,8.824
23447,Ideal,F,SI1,5.16,5.2,3.21,7.109
23448,Ideal,H,VS1,4.49,4.44,2.74,6.611
23449,Premium,H,SI2,6.57,6.54,3.88,8.216
23450,Very Good,E,VS1,5.13,5.22,3.2,7.536
23451,Ideal,J,VS2,7.36,7.3,4.48,8.991
23452,Premium,I,VVS1,5.28,5.24,3.28,7.437
23453,Very Good,E,SI2,7.99,8.11,5.08,9.704
23454,Premium,I,VVS1,4.87,4.82,3.03,6.898
23455,Premium,E,VS1,5.09,5.0,3.17,7.482
23456,Premium,E,VS2,4.45,4.43,2.79,6.863
23457,Premium,G,VS2,8.17,8.14,4.97,9.807
23458,Premium,E,SI2,6.42,6.36,3.9,8.383
23459,Ideal,F,VVS1,4.85,4.81,3.0,7.26
23460,Very Good,H,SI1,4.43,4.47,2.61,6.075
23461,Ideal,F,SI1,4.32,4.35,2.7,6.246
23462,Very Good,G,VS1,4.08,4.1,2.55,6.047
23463,Premium,E,VS2,5.83,5.85,3.61,8.073
23464,Ideal,E,VS2,4.56,4.59,2.85,6.698
23465,Very Good,D,VS1,6.12,6.15,3.69,8.491
23466,Very Good,G,VVS2,4.07,4.09,2.54,6.186
23467,Premium,F,VS2,5.78,5.74,3.47,7.885
23468,Premium,E,SI1,6.7,6.64,4.09,8.759
23469,Premium,G,VS1,4.71,4.66,2.87,7.026
23470,Very Good,E,SI2,6.16,6.22,3.76,8.052
23471,Very Good,D,VVS1,7.03,7.12,4.3,9.794
23472,Good,H,SI2,4.34,4.36,2.75,5.974
23473,Ideal,G,VVS1,4.82,4.84,2.95,7.072
23474,Ideal,G,VVS2,4.35,4.32,2.69,6.81
23475,Premium,E,SI2,5.74,5.7,3.51,7.743
23476,Fair,G,SI2,8.41,8.36,5.41,9.614
23477,Very Good,G,VS1,7.25,7.19,4.58,9.393
23478,Good,F,VS2,4.3,4.23,2.74,6.612
23479,Very Good,D,SI2,6.41,6.44,3.89,8.562
23480,Premium,D,VS2,4.32,4.3,2.66,6.815
23481,Ideal,D,VVS1,4.8,4.78,2.98,7.366
23482,Premium,G,VS2,6.68,6.72,4.15,8.723
23483,Very Good,I,VS1,7.32,7.37,4.49,9.232
23484,Ideal,E,SI1,6.0,6.03,3.67,8.266
23485,Premium,G,VVS2,6.39,6.43,3.99,8.936
23486,Ideal,E,VS1,4.78,4.75,2.94,7.05
23487,Fair,J,I1,6.17,6.12,3.99,7.75
23488,Very Good,F,VVS2,6.92,7.01,4.32,9.359
23489,Ideal,H,IF,4.79,4.82,2.99,7.091
23490,Very Good,J,VVS2,6.37,6.42,3.98,8.487
23491,Ideal,F,VS2,5.98,6.0,3.67,8.272
23492,Good,H,SI1,5.66,5.59,3.59,7.685
23493,Ideal,E,VVS2,4.61,4.64,2.86,6.798
23494,Very Good,G,VS1,7.7,7.74,4.85,9.799
23495,Good,J,VS2,4.67,4.7,3.0,6.382
23496,Ideal,G,VVS1,5.42,5.43,3.37,8.007
23497,Premium,D,SI1,4.57,4.63,2.86,6.597
23498,Ideal,I,SI1,5.73,5.77,3.53,7.721
23499,Ideal,G,SI2,7.01,7.08,4.14,8.7
23500,Premium,E,SI2,6.93,6.88,4.21,8.504
23501,Very Good,G,SI1,5.97,6.01,3.73,8.062
23502,Very Good,H,VS2,7.24,7.21,4.56,9.014
23503,Ideal,F,VVS1,4.01,4.05,2.47,6.87
23504,Premium,G,VS2,5.28,5.25,3.29,7.437
23505,Ideal,I,VS1,5.73,5.76,3.53,7.82
23506,Premium,F,VVS2,4.42,4.38,2.72,6.676
23507,Premium,H,VS1,4.31,4.27,2.59,6.515
23508,Ideal,E,VS1,4.17,4.14,2.56,6.402
23509,Premium,E,VVS2,4.77,4.74,2.83,7.026
23510,Premium,E,VS1,7.33,7.25,4.57,9.721
23511,Ideal,G,VS1,6.35,6.41,3.97,8.756
23512,Very Good,E,SI1,5.92,5.96,3.43,7.953
23513,Good,I,VS1,5.94,5.9,3.77,7.92
23514,Very Good,F,VVS2,3.94,3.97,2.45,6.273
23515,Ideal,H,VS2,4.51,4.54,2.74,6.29
23516,Very Good,F,VS1,6.25,6.33,4.0,8.947
23517,Ideal,D,VS2,4.89,4.93,3.08,7.19
23518,Premium,E,VS2,4.75,4.7,2.87,6.882
23519,Ideal,G,VVS2,5.35,5.36,3.31,7.665
23520,Ideal,F,SI2,6.18,6.22,3.87,8.246
23521,Premium,G,VS1,4.82,4.87,3.02,6.872
23522,Very Good,I,VS1,4.33,4.28,2.72,6.443
23523,Ideal,F,VS1,5.22,5.17,3.23,7.554
23524,Good,E,VS1,5.4,5.46,3.18,7.689
23525,Ideal,G,VVS2,6.88,6.93,4.31,9.272
23526,Ideal,G,VS2,4.84,4.77,2.95,6.967
23527,Very Good,H,SI2,6.13,6.23,3.84,8.1
23528,Premium,F,VS2,4.66,4.61,2.87,6.933
23529,Premium,D,SI2,6.18,6.13,3.85,8.105
23530,Ideal,I,VS1,7.12,7.06,4.34,8.938
23531,Very Good,G,VS2,4.71,4.75,2.96,6.727
23532,Good,G,VVS1,4.26,4.3,2.71,6.671
23533,Ideal,F,VVS1,4.39,4.41,2.72,6.816
23534,Good,G,VS1,5.66,5.72,3.35,7.628
23535,Ideal,G,IF,4.41,4.44,2.7,6.822
23536,Premium,E,VS2,5.31,5.26,3.08,7.454
23537,Ideal,E,VS2,5.13,5.18,3.18,7.443
23538,Ideal,J,SI1,6.16,6.23,3.88,8.04
23539,Ideal,E,I1,6.37,6.41,3.96,8.128
23540,Premium,F,VS2,6.5,6.35,4.02,8.682
23541,Very Good,G,SI1,4.99,5.01,3.14,7.088
23542,Ideal,H,SI2,6.04,6.02,3.8,7.874
23543,Ideal,J,VS2,7.71,7.66,4.77,9.176
23544,Premium,H,SI2,7.02,6.94,4.32,8.691
23545,Ideal,E,VVS2,4.28,4.32,2.68,6.641
23546,Ideal,I,SI2,5.54,5.6,3.41,7.136
23547,Premium,D,SI2,4.78,4.75,2.99,6.775
23548,Ideal,I,VVS2,5.15,5.18,3.18,7.15
23549,Ideal,G,SI2,4.44,4.48,2.74,6.138
23550,Ideal,E,SI1,4.48,4.51,2.74,6.39
23551,Ideal,H,VS1,5.17,5.19,3.19,7.419
23552,Very Good,H,SI2,7.24,7.28,4.51,8.904
23553,Ideal,G,VVS1,4.07,4.09,2.56,6.405
23554,Ideal,E,VS2,5.17,5.22,3.14,7.363
23555,Good,F,SI2,6.49,6.54,3.85,8.339
23556,Premium,F,SI1,4.77,4.72,2.94,6.851
23557,Very Good,D,SI1,5.76,5.79,3.47,7.98
23558,Ideal,E,VS1,4.53,4.49,2.74,6.94
23559,Ideal,I,VS2,5.87,5.9,3.63,8.031
23560,Ideal,F,SI1,6.59,6.53,3.93,8.559
23561,Premium,H,SI1,7.63,7.52,4.73,9.449
23562,Good,D,SI2,7.08,7.0,4.5,8.923
23563,Premium,H,SI2,6.61,6.57,3.84,8.106
23564,Ideal,E,VS1,4.13,4.09,2.54,6.363
23565,Ideal,D,VS1,4.9,4.8,2.98,6.98
23566,Premium,F,SI1,6.39,6.36,3.96,8.547
23567,Ideal,F,IF,4.69,4.68,2.9,7.268
23568,Ideal,I,VS1,7.32,7.36,4.58,9.272
23569,Premium,D,SI1,4.79,4.75,2.81,6.847
23570,Very Good,F,VVS2,3.99,4.01,2.53,6.354
23571,Ideal,D,SI1,5.91,5.96,3.65,7.971
23572,Ideal,E,VS2,6.62,6.57,4.09,8.929
23573,Premium,G,VS2,6.67,6.61,4.16,8.761
23574,Ideal,F,VVS1,4.69,4.71,2.92,7.025
23575,Ideal,G,I1,6.93,6.96,4.28,8.396
23576,Good,G,VS2,5.1,5.07,3.25,7.274
23577,Very Good,E,VS2,6.79,6.86,4.14,9.079
23578,Ideal,J,VS2,4.8,4.82,2.97,6.418
23579,Premium,G,VVS1,5.12,5.08,3.11,7.635
23580,Ideal,G,VS1,6.71,6.75,4.15,9.141
23581,Very Good,F,VS2,5.7,5.75,3.58,7.957
23582,Fair,D,SI2,7.7,7.62,4.31,8.949
23583,Premium,D,VS2,5.87,5.78,3.38,7.928
23584,Fair,H,SI1,6.11,6.01,3.96,8.095
23585,Premium,H,IF,4.3,4.34,2.61,6.671
23586,Premium,F,SI1,6.42,6.37,4.01,8.361
23587,Premium,G,VS1,5.24,5.19,3.08,7.391
23588,Premium,G,SI1,4.81,4.79,2.99,6.875
23589,Premium,G,VS2,4.8,4.83,2.85,6.718
23590,Ideal,E,VS2,5.15,5.14,3.18,7.485
23591,Premium,D,VS2,4.25,4.22,2.65,6.815
23592,Premium,I,SI1,6.99,6.94,4.24,8.613
23593,Ideal,H,VVS2,4.52,4.55,2.77,6.748
23594,Ideal,H,SI2,6.42,6.46,3.82,8.293
23595,Ideal,F,VS2,4.31,4.27,2.68,6.654
23596,Very Good,E,VS2,5.06,5.03,3.19,7.242
23597,Good,D,SI1,4.27,4.31,2.72,6.244
23598,Ideal,F,SI1,6.12,6.15,3.82,8.307
23599,Premium,E,SI1,5.09,5.06,3.12,7.255
23600,Ideal,H,SI1,6.78,6.82,4.18,8.77
23601,Premium,F,SI2,7.07,6.92,4.33,8.664
23602,Very Good,E,VVS1,5.27,5.29,3.23,7.857
23603,Very Good,H,VS2,4.43,4.46,2.62,6.125
23604,Premium,E,VS2,5.06,5.02,3.16,7.424
23605,Ideal,E,SI1,6.44,6.49,3.99,8.689
23606,Premium,D,SI2,6.79,6.71,4.07,8.512
23607,Premium,H,VVS1,4.46,4.52,2.79,6.682
23608,Very Good,H,VVS1,4.27,4.3,2.7,6.528
23609,Ideal,I,SI1,6.94,7.0,4.34,8.772
23610,Premium,H,VVS2,4.36,4.33,2.69,6.687
23611,Very Good,E,VVS2,3.95,3.97,2.51,6.184
23612,Very Good,E,SI2,5.2,5.24,3.19,7.044
23613,Very Good,F,VS2,4.85,4.89,2.89,6.858
23614,Premium,E,VS1,5.38,5.31,3.21,7.54
23615,Ideal,D,VS2,4.8,4.83,2.99,6.938
23616,Ideal,G,VS1,5.17,5.2,3.18,7.363
23617,Ideal,D,SI1,5.24,5.22,3.24,7.469
23618,Premium,H,SI2,5.98,5.92,3.7,7.838
23619,Ideal,E,VVS2,4.79,4.81,2.95,7.078
23620,Ideal,E,VS1,4.12,4.16,2.55,6.153
23621,Good,H,SI2,7.55,7.5,4.31,8.671
23622,Premium,I,VS2,6.74,6.73,4.19,8.518
23623,Very Good,H,SI2,4.6,4.62,2.7,6.033
23624,Ideal,E,SI2,6.68,6.65,4.12,8.541
23625,Ideal,D,SI1,6.52,6.56,4.1,8.786
23626,Ideal,E,SI1,4.71,4.75,2.94,6.603
23627,Very Good,F,VVS2,5.09,5.11,3.11,7.607
23628,Premium,D,VS2,6.44,6.35,4.01,8.868
23629,Ideal,F,VS1,5.77,5.74,3.55,7.948
23630,Fair,E,VS2,6.27,6.2,4.15,8.417
23631,Premium,J,VS2,8.02,7.99,5.04,9.528
23632,Ideal,E,VVS2,4.36,4.4,2.69,6.641
23633,Good,J,SI1,4.28,4.25,2.73,6.084
23634,Very Good,E,SI1,4.76,4.81,2.98,6.65
23635,Premium,J,SI1,8.75,8.71,5.21,9.699
23636,Ideal,G,VVS2,4.44,4.41,2.73,6.842
23637,Ideal,F,VS2,5.77,5.72,3.56,7.866
23638,Premium,H,SI2,6.31,6.27,3.84,8.259
23639,Premium,G,VS2,5.87,5.82,3.55,7.927
23640,Ideal,G,VVS2,6.62,6.66,4.06,9.023
23641,Ideal,I,VS2,5.72,5.64,3.53,7.728
23642,Premium,I,SI1,4.35,4.33,2.73,6.317
23643,Ideal,D,VS2,4.33,4.3,2.66,6.815
23644,Ideal,G,VVS2,5.45,5.48,3.42,7.801
23645,Ideal,F,VVS2,5.26,5.29,3.27,7.727
23646,Very Good,E,SI2,6.12,6.16,3.87,8.235
23647,Premium,E,SI1,4.56,4.53,2.74,6.64
23648,Premium,G,SI2,4.35,4.32,2.73,6.26
23649,Premium,F,SI1,6.39,6.35,3.96,8.431
23650,Premium,E,SI1,5.28,5.22,3.28,7.265
23651,Premium,F,VS1,4.71,4.64,2.93,7.004
23652,Ideal,I,VS1,4.95,4.97,3.07,6.715
23653,Premium,G,VS1,6.43,6.47,3.93,8.819
23654,Ideal,G,VS1,6.56,6.58,4.06,8.94
23655,Very Good,H,SI1,6.38,6.41,4.02,8.476
23656,Very Good,G,VS1,4.75,4.83,2.91,6.673
23657,Very Good,H,VS1,7.23,7.17,4.55,9.329
23658,Fair,G,SI2,7.8,7.73,5.05,9.527
23659,Ideal,I,VS1,6.9,6.94,4.26,8.879
23660,Very Good,H,SI1,4.26,4.29,2.69,6.043
23661,Premium,F,SI1,5.85,5.74,3.45,7.89
23662,Fair,G,SI2,7.89,7.84,6.16,9.653
23663,Premium,E,VS2,4.59,4.63,2.81,6.698
23664,Ideal,E,VS2,4.42,4.45,2.72,6.554
23665,Premium,F,VS2,4.52,4.47,2.75,6.78
23666,Ideal,D,VS2,5.67,5.7,3.54,8.037
23667,Ideal,F,SI1,6.49,6.46,4.07,8.635
23668,Very Good,F,VVS2,3.93,3.95,2.38,6.225
23669,Premium,F,SI2,6.27,6.21,3.78,8.282
23670,Good,D,VS1,5.61,5.69,3.58,7.943
23671,Premium,H,VVS1,4.55,4.5,2.77,6.931
23672,Premium,G,VS2,7.33,7.39,4.56,9.509
23673,Ideal,D,VS2,4.56,4.58,2.81,6.748
23674,Ideal,G,SI1,4.77,4.83,2.89,6.554
23675,Premium,H,SI1,6.87,6.83,4.0,8.485
23676,Ideal,G,SI2,8.23,8.27,5.16,9.798
23677,Very Good,F,SI2,5.86,5.91,3.67,7.858
23678,Ideal,E,VS2,5.47,5.49,3.3,7.571
23679,Fair,H,SI2,6.21,5.97,4.04,7.957
23680,Very Good,E,VS2,5.26,5.19,3.27,7.263
23681,Very Good,G,SI2,6.46,6.49,4.03,8.383
23682,Good,E,SI2,5.71,5.78,3.43,7.646
23683,Premium,E,VVS1,5.23,5.17,3.16,7.83
23684,Premium,E,VVS1,4.52,4.49,2.69,6.958
23685,Ideal,D,VS2,5.37,5.33,3.24,7.633
23686,Ideal,F,VVS2,4.35,4.37,2.68,6.653
23687,Ideal,G,VS1,7.12,7.15,4.39,9.229
23688,Ideal,F,VS1,6.94,6.92,4.14,9.142
23689,Ideal,G,VS1,6.45,6.48,4.0,8.871
23690,Very Good,D,VS2,4.38,4.42,2.73,6.631
23691,Good,G,SI2,5.88,5.83,3.73,7.818
23692,Ideal,F,SI2,6.56,6.51,4.04,8.586
23693,Ideal,G,VVS1,5.14,5.1,3.19,7.655
23694,Very Good,F,SI1,5.21,5.26,3.14,7.14
23695,Premium,J,VS1,7.36,7.39,4.51,9.014
23696,Very Good,D,SI1,4.77,4.73,3.0,6.853
23697,Very Good,E,SI2,6.5,6.54,3.96,8.406
23698,Ideal,D,VS2,4.37,4.41,2.69,6.631
23699,Ideal,H,SI1,6.8,6.86,4.23,8.727
23700,Ideal,D,VS2,5.79,5.81,3.61,8.147
23701,Premium,E,VVS2,4.77,4.73,2.89,6.962
23702,Very Good,E,SI2,4.66,4.69,2.94,6.501
23703,Ideal,G,IF,4.56,4.54,2.81,7.018
23704,Ideal,I,I1,6.44,6.49,3.99,7.963
23705,Very Good,E,VVS2,3.97,3.99,2.45,6.225
23706,Ideal,H,VS1,6.57,6.53,4.25,8.884
23707,Very Good,H,VS2,6.61,6.54,4.14,8.622
23708,Ideal,G,SI1,5.27,5.29,3.23,7.247
23709,Very Good,F,SI1,7.55,7.6,4.57,9.392
23710,Premium,F,SI2,7.76,7.68,4.53,9.239
23711,Good,E,VVS1,4.73,4.75,3.01,6.91
23712,Ideal,I,VS2,6.87,6.92,4.31,8.767
23713,Premium,G,VS2,4.86,4.9,2.92,6.742
23714,Ideal,F,VS2,4.4,4.37,2.69,6.719
23715,Ideal,E,VVS1,4.35,4.33,2.67,6.863
23716,Very Good,G,VVS2,4.32,4.3,2.72,6.81
23717,Ideal,F,SI1,5.9,5.97,3.74,7.998
23718,Ideal,H,VS1,6.88,6.9,4.26,9.037
23719,Ideal,H,SI1,8.4,8.37,5.23,9.571
